Temp Irradiance TheoV PredV TheoP PreP
298.284 777.83 0.499 0.5126351741947435 2.92659208594 2.896240536375501
298.269 778.56 0.499 0.5114201149699243 2.92933195159 2.9044424566508713
297.914 782.23 0.498 0.5109778224227679 2.94036062921 2.9151453976281823
298.552 767.2 0.499 0.508003806388069 2.88716255618 2.874969536225934
298.551 764.62 0.499 0.5070984625367159 2.87694058136 2.866975687433635
298.859 786.72 0.5 0.508304769552404 2.96748891226 2.957244611383083
299.215 782.34 0.5 0.5069658223919836 2.95362716105 2.9474995179291046
298.664 786.41 0.5 0.5074064671993046 2.96429830568 2.9554697953394267
298.604 582.39 0.492 0.488680959047148 2.16110550931 2.1600421520950683
298.604 585.27 0.492 0.48903270759509426 2.17234525415 2.171417241135426
298.594 703.21 0.497 0.49976568358462314 2.63490655432 2.633787097784841
298.617 774.6 0.499 0.5060550821497121 2.91708750617 2.910338765077468
298.681 772.57 0.499 0.5054516734216192 2.90967383525 2.904186522073726
298.367 770.46 0.499 0.5052988684170365 2.89824507813 2.8919659624887664
298.161 773.87 0.498 0.5055523639374251 2.90973717351 2.9024058547159637
298.137 792.73 0.499 0.5069203432449825 2.98409609096 2.974665449501606
298.293 794.69 0.499 0.5065794816713838 2.99341729613 2.9855309951641185
297.504 782.67 0.497 0.5061091559419124 2.93802433468 2.9272945773509065
298.225 765.53 0.498 0.5034775980379398 2.87740696334 2.873585999219199
298.34 768.73 0.498 0.503434738529603 2.89114610938 2.887816769733671
298.37 773.46 0.499 0.5036199896797454 2.91014945209 2.9068131051490296
298.325 767.92 0.498 0.503041415251554 2.88780364703 2.88492982915701
297.314 745.06 0.496 0.5020751064924238 2.78803449109 2.7830795623048505
296.754 743.38 0.495 0.5023578465739422 2.77618672432 2.7688239262490932
296.769 745.23 0.495 0.502230219385149 2.78359113741 2.7766515339840074
296.897 743.26 0.495 0.5016817708219952 2.77704797962 2.7714718945068126
296.402 740.5 0.494 0.501711920277978 2.76159027553 2.754182726369452
297.017 750.06 0.496 0.5016675212667826 2.80488676218 2.8000359353580793
297.033 752.38 0.496 0.5016803917470382 2.81416807128 2.809442929163487
298.419 660.62 0.495 0.4926838235659308 2.46592515375 2.4654254128199145
298.459 658.3 0.495 0.49249953707519695 2.45714754889 2.456573436607241
298.756 631.6 0.494 0.49006433451613407 2.35477844074 2.3530180568397845
298.535 653.28 0.495 0.4921324739714963 2.43806447822 2.4373416632769884
298.539 640.19 0.494 0.4910835180842294 2.38674010975 2.38571225638672
298.38 642.43 0.494 0.49144958327019467 2.39425617617 2.3935327737792442
298.175 644.89 0.494 0.49186303102893775 2.40224805264 2.4018318218572428
298.145 617.13 0.493 0.48958913640534396 2.29337658053 2.2924110713042087
297.954 595.45 0.492 0.48796911122035425 2.20728263194 2.206094917162759
296.402 582.54 0.488 0.48820009378059387 2.14572863518 2.1457433331693165
295.673 638.03 0.489 0.4934548774712202 2.35542545863 2.353699832132408
295.715 644.35 0.49 0.4937675593373268 2.38032771162 2.3785607974527694
297.926 472.75 0.486 0.47760099471810424 1.73131221583 1.7265282921715324
298.16 447.71 0.485 0.4754102999005948 1.63621048723 1.6303165842735603
298.344 470.79 0.487 0.4773066933708917 1.72615815563 1.7204304556372727
298.262 478.67 0.487 0.47812214566775013 1.75611268472 1.7509086533027811
298.098 514.07 0.488 0.4813052992570263 1.89200532509 1.8883333457325653
298.048 535.26 0.489 0.48319190692084973 1.97382669373 1.9709745949631863
297.815 513.34 0.488 0.4815776936849639 1.88738407518 1.8844563527354161
297.844 499.82 0.487 0.4804825897737621 1.83529337894 1.831984578467974
298.06 521.16 0.489 0.48218045344325333 1.91921326244 1.9161023536544204
299.201 519.67 0.49 0.4812400000634888 1.92077690314 1.9146198841109803
299.496 493.64 0.49 0.4789505218688878 1.82145200866 1.8136484631659875
299.0 483.14 0.488 0.4785719306923011 1.7777650467 1.7713473106163955
300.931 315.76 0.481 0.4632777842198508 1.14330777643 1.130617042701083
299.992 364.09 0.483 0.46843357374530376 1.32421860175 1.3139662184939662
299.699 383.02 0.484 0.47042278919665104 1.39545418067 1.386275955645002
300.86 318.74 0.481 0.4648779543138891 1.15440647426 1.1434627023158108
300.5 330.06 0.481 0.4664040248451835 1.19620103997 1.1863983201478228
300.985 306.92 0.48 0.46482055206006695 1.10980356346 1.1000486857336946
300.951 274.85 0.478 0.4625996590093692 0.987839496964 0.9796499789319354
301.616 263.99 0.478 0.46236803202761806 0.94883777622 0.9406979258024287
301.997 249.17 0.477 0.4619764000270623 0.893905656582 0.8866109434366087
301.787 234.85 0.475 0.46137659310076085 0.839245177775 0.8333353706269826
302.673 222.12 0.475 0.46160201654963123 0.793670903377 0.788246659099959
303.001 255.05 0.479 0.465533075865601 0.91920530101 0.9129887647114726
304.693 63.94 0.447 0.4521682758777555 0.214392199906 0.21414047514928347
303.779 49.05 0.439 0.4493711205753449 0.161437254061 0.16055337416561102
303.572 48.04 0.439 0.4483246301344993 0.157811723477 0.15698787282962406
303.602 15.63 0.411 0.44499183677096144 0.047939478973 0.04309490686908893
303.558 16.52 0.412 0.4429441799581795 0.0508389087263 0.04690663403483728
303.558 15.08 0.41 0.4410433898605704 0.0461410458375 0.04244950229848794
303.777 155.32 0.468 0.4514870686892363 0.546141353804 0.5406789400761434
303.92 155.18 0.468 0.452388860990755 0.545878349435 0.5408377089879787
303.905 146.07 0.467 0.45243766316760076 0.512075246966 0.508157596345553
303.932 166.58 0.47 0.4549703743762732 0.588313214991 0.5833979669100363
305.823 134.93 0.468 0.45398201512482916 0.473900935264 0.47056299034479887
305.319 149.9 0.469 0.4560756045857036 0.528708893942 0.5251214137131818
306.583 10.44 0.405 0.4458052266638619 0.0315108073939 0.02635299784152419
306.616 10.26 0.405 0.4424157380782009 0.0309359082853 0.026807620990141494
306.478 17.05 0.417 0.4401100237386695 0.0530805108552 0.05107816241917828
306.35 56.19 0.447 0.44192504037024427 0.188003271231 0.1878219375905257
306.91 69.21 0.453 0.4433138305442263 0.234830610279 0.2339917816184773
